Expr1,month,year,RB5 ChlA,RB5 Cond,RB5 DO,RB5 NH4,RB5 NO2,RB5 NO3,RB5 pH,RB5 PP,RB5 PSiO2,RB5 SD,RB5 SRP,RB5 SRSi,RB5 SURP,RB5 Temp,RB5 TON,RB5 TP,RB5 TSi,RB5 TSP,Sl8 ChlA,Sl8 Cond,Sl8 DO,Sl8 NH4,Sl8 NO2,Sl8 NO3,Sl8 pH,Sl8 PP,Sl8 PSiO2,Sl8 SD,Sl8 SRP,Sl8 SRSi,Sl8 SURP,Sl8 Temp,Sl8 TON,Sl8 TP,Sl8 TSi,Sl8 TSP,Sl8 TSSiO2,Uns ChlA,Uns NO3,Uns SRP,Uns SRSi,Uns TP
24/11/2015,,,1.51,,,,,,,,,,32.67,,,,,49.07,,37.72,2.58,,,,,,,,,,29.54,,,,,39.25,,35.72,,,,,,
8/12/2015,,,,,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,32.21,,,,,47.97,,37.89,,,,,,
22/12/2015,,,2.17,,,,,,,,,,33.33,,,,,47.64,,35.01,1.63,,,,,,,,,,30.98,,,,,41.93,,35.48,,,,,,
5/1/2016,,,,,,,,,,,,,,,,,,,,,2.73,,,,,,,,,,30.28,,,,,49.74,,35.35,,,,,,
19/1/2016,,,0.81,,,,,,,,,,34.84,,,,,39.39,,33.85,0.86,,,,,,,,,,34.11,,,,,36.38,,34.58,,,,,,
3/2/2016,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,31.23,,,,,56.79,,35.15,,,,,,
16/2/2016,,,2.26,,,,,,,,,,27.89,,,,,40.29,,29.91,1.75,,,,,,,,,,29.86,,,,,37.42,,32.38,,,,,,
1/3/2016,,,4.67,,,,,,,,,,19.07,,,,,44.56,,24.65,5.04,,,,,,,,,,18.66,,,,,42.33,,26.68,,,,,,
15/3/2016,,,30.96,,,,,,,,,,5.61,,,,,37.42,,13.82,29.38,,,,,,,,,,6.86,,,,,36.93,,15.88,,,,,,
29/3/2016,,,44.77,,,,,,,,,,3.55,,,,,35.2,,9.66,41.4,,,,,,,,,,3.39,,,,,30.84,,10.77,,,,,,
12/4/2016,,,18.56,,,,,,,,,,2.54,,,,,24.46,,8.42,17.21,,,,,,,,,,3.39,,,,,21.35,,8.45,,,,,,
