Date,Site,Measure,Value,Units,Instrument,FileName,TabName
23/6/2015,Reed Bower,DO,9.46,mg/L,Hach HQ30d,Datasheets_2015,23.06.15
23/6/2015,Reed Bower,DO,93.4,%,Hach HQ30d,Datasheets_2015,23.06.15
7/7/2015,Reed Bower,DO,8.51,mg/L,Hach HQ30d,Datasheets_2015,07.07.15
7/7/2015,Reed Bower,DO,90.7,%,Hach HQ30d,Datasheets_2015,07.07.15
21/7/2015,Reed Bower,DO,9.16,mg/L,Hach HQ30d,Datasheets_2015,21.07.15
21/7/2015,Reed Bower,DO,94.2,%,Hach HQ30d,Datasheets_2015,21.07.15
4/8/2015,Reed Bower,DO,9.71,mg/L,Hach HQ30d,Datasheets_2015,04.08.15
4/8/2015,Reed Bower,DO,98.8,%,Hach HQ30d,Datasheets_2015,04.08.15
18/8/2015,Reed Bower,DO,9.68,mg/L,Hach HQ30d,Datasheets_2015,18.08.15
18/8/2015,Reed Bower,DO,101,%,Hach HQ30d,Datasheets_2015,18.08.15
1/9/2015,Reed Bower,DO,9.59,mg/L,Hach HQ30d,Datasheets_2015,01.09.15
1/9/2015,Reed Bower,DO,96.8,%,Hach HQ30d,Datasheets_2015,01.09.15
15/9/2015,Reed Bower,DO,10.74,mg/L,Hach HQ30d,Datasheets_2015,15.09.15
15/9/2015,Reed Bower,DO,106.6,%,Hach HQ30d,Datasheets_2015,15.09.15
29/9/2015,Reed Bower,DO,11.23,mg/L,Hach HQ30d,Datasheets_2015,29.09.15
29/9/2015,Reed Bower,DO,105.7,%,Hach HQ30d,Datasheets_2015,29.09.15
13/10/2015,Reed Bower,DO,10.89,mg/L,Hach HQ30d,Datasheets_2015,13.10.15
13/10/2015,Reed Bower,DO,99.9,%,Hach HQ30d,Datasheets_2015,13.10.15
27/10/2015,Reed Bower,DO,9.34,mg/L,Hach HQ30d,Datasheets_2015,27.10.15
27/10/2015,Reed Bower,DO,82.7,%,Hach HQ30d,Datasheets_2015,27.10.15
10/11/2015,Reed Bower,DO,9.86,mg/L,Hach HQ30d,Datasheets_2015,10.11.15
